geometry,motion,azimuth_noise_std_deg,elevation_noise_std_deg,delivery_schedule,method,independent_sequence_count,successful_initialization_count,successful_initialization_fraction,successful_initialization_fraction_ci95_low,successful_initialization_fraction_ci95_high,final_valid_count,final_failure_fraction,final_failure_reason_counts,mean_time_to_first_estimate_s,final_position_rmse_m,final_position_p95_m,final_velocity_rmse_mps,final_velocity_p95_mps,final_state_95_coverage_fraction,final_state_95_coverage_ci95_low,final_state_95_coverage_ci95_high,mean_sequence_measurement_nis,mean_sequence_nis_95_coverage_fraction,median_total_runtime_s,mean_update_runtime_s,maximum_covariance_symmetry_error,minimum_covariance_eigenvalue,coverage_interval_unit,temporal_nis_nees_are_dependent
poorly_conditioned,stationary,0.03,0.05,reordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.1005205693384368,0.5321777644619247,0.6761045740529147,0.1399052634696304,0.16774194812463528,1.0,0.5101091635454027,1.0,nan,nan,0.03650709999601531,nan,3.469446951953614e-18,3.9136836068672505e-05,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.03,0.05,reordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.5094463286205735,0.05955367438624094,0.0745308981083285,0.028560550182587224,0.03673057196688812,1.0,0.5101091635454027,1.0,nan,nan,0.07485284999893338,nan,0.0,2.813807050331004e-05,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.1,0.18,ordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,0.14117918862776369,0.17634662480708774,0.07946696726467975,0.10007823567231199,1.0,0.5101091635454027,1.0,2.28231177561877,0.9166666666666666,0.04006649999246292,0.0005406194447156547,0.0,0.0003930361403806588,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.1,0.18,ordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.7999999999999999,0.14084745274763746,0.17576402958249804,0.07952029665406998,0.10006876321575556,1.0,0.5101091635454027,1.0,nan,nan,1.6066926999974385,nan,0.0,0.0003933651782967655,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.1,0.18,ordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,1.4464150455257931,1.7653690950712262,0.45140774793405825,0.5926738050030426,1.0,0.5101091635454027,1.0,nan,nan,0.033177499997691484,nan,5.551115123125783e-17,0.0005233547950463666,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.1,0.18,ordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.507999999999999,0.14084745274763746,0.17576402958249804,0.07952029665406998,0.10006876321575556,1.0,0.5101091635454027,1.0,nan,nan,0.07762374999947497,nan,0.0,0.0003933651782967655,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.1,0.18,reordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.11812794693386,0.383232051126639,0.5196380242276609,0.13742118478605636,0.2105166256784107,1.0,0.5101091635454027,1.0,2.174701252300012,0.9444444444444444,0.05676245000177005,0.0007451166665204153,0.0,0.0003424937664329946,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.1,0.18,reordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.7807071222555052,0.38321813492425355,0.5193609750257498,0.1373312489657218,0.21027863771811442,1.0,0.5101091635454027,1.0,nan,nan,3.1109453499993833,nan,0.0,0.00034212347260665325,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.1,0.18,reordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.11812794693386,0.9860738128419331,1.1073514661649455,0.2696644583527699,0.3334145064400266,1.0,0.5101091635454027,1.0,nan,nan,0.04768639999929292,nan,5.551115123125783e-17,0.0004662593393962499,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.1,0.18,reordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.4422315869046067,0.38321813492425355,0.5193609750257498,0.1373312489657218,0.21027863771811442,1.0,0.5101091635454027,1.0,nan,nan,0.10276389999853563,nan,0.0,0.00034212347260665325,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.3,0.5,ordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,0.6870217439176826,0.9904915939681133,0.28808178736497875,0.37144896300105434,1.0,0.5101091635454027,1.0,2.4956930301069735,0.9444444444444444,0.03702085000441002,0.0005189055550039888,0.0,0.0034074356029367182,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.3,0.5,ordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.7999999999999999,0.6833172361365176,0.9901911031787165,0.287157335182789,0.3731981526124638,1.0,0.5101091635454027,1.0,nan,nan,1.5614889000025869,nan,0.0,0.0034194373329204278,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.3,0.5,ordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,3.6295536508914155,5.4319420381405426,1.1323414538243557,1.6893138838678532,1.0,0.5101091635454027,1.0,nan,nan,0.030527600001732935,nan,4.440892098500626e-16,0.004528870286560247,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.3,0.5,ordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.507999999999999,0.6833172361365176,0.9901911031787165,0.287157335182789,0.3731981526124638,1.0,0.5101091635454027,1.0,nan,nan,0.07947815000079572,nan,0.0,0.0034194373329204278,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.3,0.5,reordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.0640364045031971,0.6350179028985862,0.7782423055179825,0.24253172775960194,0.2927354232125244,1.0,0.5101091635454027,1.0,1.9154610790658306,0.9444444444444444,0.03940580000198679,0.0005427777780116432,0.0,0.0027529990590319797,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.3,0.5,reordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.7471517129712113,0.6357141085841538,0.7797976639279671,0.24234918151915522,0.29337676586468653,1.0,0.5101091635454027,1.0,nan,nan,2.140665100003389,nan,0.0,0.002755988052780317,whole_sequence_final_outcome,True
poorly_conditioned,stationary,0.3,0.5,reordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.0640364045031971,3.4977715492692756,5.1695274532712965,1.0598387378747125,1.5185652137290846,1.0,0.5101091635454027,1.0,nan,nan,0.032715799992729444,nan,4.440892098500626e-16,0.0038460527385536796,whole_sequence_final_outcome,True
