geometry,motion,angular_noise_std_deg,delivery_schedule,mode,prefix_index,row_type,base_seed,seed_scheme,processing_time_s,independent_sequence_count,dependent_prefix_count_per_sequence,successful_sequence_count,successful_fraction,failure_reason_counts,position_rmse_m,position_median_m,position_p95_m,velocity_rmse_mps,velocity_median_mps,velocity_p95_mps,position_bias_e_m,position_bias_n_m,position_bias_u_m,velocity_bias_e_mps,velocity_bias_n_mps,velocity_bias_u_mps,mean_used_measurement_count,median_condition_number,median_runtime_s,maximum_constraint_residual_rad,maximum_scaled_kkt_residual
wide,oblique_slow,0.05,ordered,causal_prefix,1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",2.5,4,5,4,1.0,{},0.1197581270874259,0.07824708659689761,0.1930260218038118,0.09804499835841807,0.08281599534050661,0.1464547228327613,0.0025732627054342316,-0.032081040997161026,-0.05822207020970893,-0.005139634634304224,0.026624258201857764,0.03810411479916592,8.0,983.7305921561689,0.04373325000051409,0.0,5.666426769712308e-10
wide,oblique_slow,0.05,ordered,causal_prefix,2,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",3.5,4,5,4,1.0,{},0.05559065831366525,0.05847283361888492,0.06314351082160755,0.03715894063118582,0.03453178863266823,0.04847907466724138,-0.007335959281224547,-0.009850952692039172,-0.018644648081854953,0.005366042233348356,0.007257133163099949,0.0043235474923334904,12.0,340.9484104328574,0.0640379999531433,0.0,3.806098925893771e-07
wide,oblique_slow,0.05,ordered,causal_prefix,3,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",4.5,4,5,4,1.0,{},0.05527519530499622,0.06024083387926622,0.0655708076471435,0.026986959754084317,0.0276278662749324,0.03289700862621366,0.0016588886253785518,0.00433048960354121,-0.014102150119569501,-0.0007234382630008085,-0.0025532046978629097,0.0014475389179145204,16.0,179.93843250637195,0.0739438499440439,0.0,1.9272926295510014e-07
wide,oblique_slow,0.05,ordered,causal_prefix,4,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",7.0,4,5,4,1.0,{},0.03777337967546645,0.03784175188816626,0.050645209057356456,0.01635250423333193,0.015028947027840956,0.022617554499391825,0.005290916300129567,0.0029020846323408733,-0.010271558580965845,-0.0025240240332455866,-0.0018418062479954589,-0.0008768622416813199,19.0,142.5593990743564,0.08339510002406314,0.0,6.772302614475144e-08
wide,oblique_slow,0.05,reordered_dropout,offline_full_record,-1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",5.366671215866349,4,5,4,1.0,{},0.02554414589791979,0.02600128664695013,0.032357513463545574,0.014238639105551978,0.01131276744741488,0.021661646629884075,0.002492052404548417,-0.0017577542838349558,-0.0038913530034108135,-0.008188681122337949,-0.0004625865656118222,0.004004493999937714,17.0,137.86416205953998,0.08943469997029752,0.0,3.550135521217726e-10
wide,oblique_slow,0.05,reordered_dropout,causal_prefix,0,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",1.5,4,5,4,1.0,{},1.874453649812405,1.0936582174623828,3.0660488781279334,2.4332111963473104,1.3256766372253725,4.011418452646468,1.0113481448840282,0.7161140776788795,0.5521548655368527,-1.2836741265445104,-0.906386995212629,-0.7020009170070161,3.25,73939.01063997898,0.019392999995034188,0.0,7.570067971175501e-09
wide,oblique_slow,0.05,reordered_dropout,causal_prefix,1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",2.5,4,5,4,1.0,{},0.13545255525134406,0.12078482552926413,0.17955643526624585,0.1196875906701088,0.12309179270914336,0.136860807549156,0.059395964560090775,0.035212501432758,0.023106028750762064,-0.041460242654213,-0.0358457915467959,-0.014145577696601352,6.25,1341.8116096933347,0.03584699996281415,0.0,3.1850080947914104e-07
wide,oblique_slow,0.05,reordered_dropout,causal_prefix,2,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",3.5,4,5,4,1.0,{},0.11969993969456093,0.09829130271105341,0.17685468740096016,0.0952701725000764,0.08401633182112635,0.13243146245984194,0.08411673953684051,0.020295281241061502,0.01946989360445528,-0.06830256148626956,-0.015453710058620618,-0.01248165231916984,9.0,513.4039664089289,0.04391294997185469,0.0,3.1912331235285346e-10
wide,oblique_slow,0.05,reordered_dropout,causal_prefix,3,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",4.5,4,5,4,1.0,{},0.0465620217441219,0.04338982909675876,0.060053899632250315,0.02574481428122383,0.025431846317916434,0.03371554800684152,0.01132000107188702,0.00814057667203727,-0.006445557844427796,-0.013406522957500222,-0.005782829371476117,0.005687177205015326,13.25,222.59211420091592,0.06183105002855882,0.0,3.2674979554320745e-07
wide,oblique_slow,0.05,reordered_dropout,causal_prefix,4,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",7.0,4,5,4,1.0,{},0.02554414589791979,0.02600128664695013,0.032357513463545574,0.014238639105551978,0.01131276744741488,0.021661646629884075,0.002492052404548417,-0.0017577542838349558,-0.0038913530034108135,-0.008188681122337949,-0.0004625865656118222,0.004004493999937714,17.0,137.86416205953998,0.08072174998233095,0.0,3.550135521217726e-10
wide,oblique_slow,0.2,ordered,offline_full_record,-1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",5.019999999999999,4,5,4,1.0,{},0.2605852697937442,0.2677130975106015,0.3396106114987988,0.07393745555371634,0.0800250857339551,0.08797808265380835,0.01229715021957567,-0.04516846252717954,0.012903992367368389,-0.009868630620655683,0.00424372979696086,0.0037655403917969676,19.0,142.7246831512374,0.0814832000178285,0.0,1.3775591365236032e-08
wide,oblique_slow,0.2,ordered,causal_prefix,0,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",1.5,4,5,4,1.0,{},2.270213444343302,2.0090719983768324,3.0564675442002858,2.8128201324603634,2.5103223560761148,3.8280904480856583,-0.2520172344632794,0.1293445261621038,0.19139773629755386,0.32073276245287996,-0.27626842294962783,-0.18105050007384166,4.0,66840.66400377835,0.019822899950668216,0.0,5.5765435359576075e-09
wide,oblique_slow,0.2,ordered,causal_prefix,1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",2.5,4,5,4,1.0,{},0.5808398117669753,0.5707914943282076,0.6939197977647927,0.43686527766205524,0.4014987916515128,0.5750596815105251,0.17336368210836994,-0.05351853889338365,0.1841451014247486,-0.13022886249938637,-0.0030616484983057024,-0.12999756313594707,8.0,984.9366645772297,0.03730629995698109,0.0,8.423956829720068e-09
wide,oblique_slow,0.2,ordered,causal_prefix,2,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",3.5,4,5,4,1.0,{},0.4432495425310567,0.4456654412982721,0.5812442533851262,0.22438253370488598,0.21504630891709964,0.2942701160252663,0.10854891446927617,-0.1373672876194405,0.09695267345171388,-0.08111229807149933,0.0634106113066858,-0.05466845912611376,12.0,340.50859314428266,0.052445849985815585,0.0,1.737448807492757e-08
wide,oblique_slow,0.2,ordered,causal_prefix,3,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",4.5,4,5,4,1.0,{},0.29814011573238774,0.31214947795196823,0.37461727649554905,0.12691939315564066,0.12041936610786336,0.17221485282238405,-0.07622905201761476,-0.06980426355771208,-0.006877688097800316,0.03871623426675086,0.017621097388051066,0.013371151278392057,16.0,180.1721044295415,0.06503925001015887,0.0,1.0810189747509591e-08
wide,oblique_slow,0.2,ordered,causal_prefix,4,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",7.0,4,5,4,1.0,{},0.2605852697937442,0.2677130975106015,0.3396106114987988,0.07393745555371634,0.0800250857339551,0.08797808265380835,0.01229715021957567,-0.04516846252717954,0.012903992367368389,-0.009868630620655683,0.00424372979696086,0.0037655403917969676,19.0,142.7246831512374,0.08167425001738593,0.0,1.3775591365236032e-08
wide,oblique_slow,0.2,reordered_dropout,offline_full_record,-1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",5.368188981643028,4,5,4,1.0,{},0.2583315506816811,0.2427614067870874,0.32933154208369586,0.09521881088058554,0.0949391677606636,0.12137490925460487,0.08056500332903482,0.13088857763019313,0.06122361773760154,-0.014971026973187085,-0.036513739572338055,-0.03357218069972884,17.0,137.81431887288483,0.08215834997827187,0.0,7.248763595569769e-09
