split,evaluation_seed,qc_alpha_m2_s3,geometry,trajectory_kind,variant,period,independent_sequence_count,dependent_publication_count,valid_publication_count,valid_fraction,confirmed_fraction,position_rmse_m_conditional,position_p95_m_conditional,position_max_m_conditional,velocity_rmse_mps_conditional,velocity_p95_mps_conditional,velocity_max_mps_conditional,coverage_conditional,valid_and_covered_fraction,mean_clean_rejected_during_per_sequence,clean_nis_rejection_fraction_during,mean_reset_count,mean_first_confirmation_time_s,mean_last_recovery_duration_s,mean_first_post_onset_accepted_update_processing_lag_s,mean_first_post_onset_accepted_update_first_publication_lag_s,mean_runtime_s_per_sequence,maximum_history_memory_bytes,maximum_history_nodes
evaluation,20260916,1.0,poorly_conditioned,constant_acceleration_segment,manoeuvre_history,post,8,64,63,0.984375,0.984375,2.4234946328520133,5.289568916848005,7.624948831866746,1.1553806654311447,2.2777451036815477,2.3840315251861544,0.9682539682539683,0.953125,0.625,0.041666666666666664,0.125,4.368075141905226,2.5999122198183047,1.2034837642706808,1.5,0.7704537374993379,181400,25
evaluation,20260916,1.0,poorly_conditioned,constant_acceleration_segment,manoeuvre_history,pre,8,80,9,0.1125,0.1125,0.6984695013044692,1.0958018655147606,1.236162190015827,0.2817640618926469,0.42026370075604835,0.42071856913128236,1.0,0.1125,0.625,0.041666666666666664,0.125,4.368075141905226,2.5999122198183047,1.2034837642706808,1.5,0.7704537374993379,181400,25
evaluation,20260916,1.0,poorly_conditioned,constant_velocity,confirmed_recovery,during,8,72,70,0.9722222222222222,0.9722222222222222,0.6577879027968416,1.1431291753659738,1.4960031440302022,0.14887671988143053,0.21856642868147694,0.43597253084063853,1.0,0.9722222222222222,0.125,0.008333333333333333,0.0,4.326592308574062,nan,0.5977751769839704,0.875,0.7254019874999358,0,0
evaluation,20260916,1.0,poorly_conditioned,constant_velocity,confirmed_recovery,post,8,64,64,1.0,1.0,0.4997962253172273,0.8193649016900817,0.8864923111296815,0.07338228554004668,0.1202873028259821,0.1304978496773093,1.0,1.0,0.125,0.008333333333333333,0.0,4.326592308574062,nan,0.5977751769839704,0.875,0.7254019874999358,0,0
evaluation,20260916,1.0,poorly_conditioned,constant_velocity,confirmed_recovery,pre,8,80,9,0.1125,0.1125,0.8035845993165285,1.1471158855920311,1.2037699447109658,0.31488809695286085,0.4348476053486891,0.45021879235999535,1.0,0.1125,0.125,0.008333333333333333,0.0,4.326592308574062,nan,0.5977751769839704,0.875,0.7254019874999358,0,0
evaluation,20260916,1.0,poorly_conditioned,constant_velocity,manoeuvre_history,during,8,72,70,0.9722222222222222,0.9722222222222222,1.260312786491986,2.2750825422594385,2.886555293824963,0.7360305212617564,1.312998825875023,1.5530657948154187,1.0,0.9722222222222222,0.25,0.016666666666666666,0.0,4.326592308574062,nan,0.727648785338875,1.0,0.7356366250014617,181400,25
evaluation,20260916,1.0,poorly_conditioned,constant_velocity,manoeuvre_history,post,8,64,64,1.0,1.0,1.5379760899411663,3.278679196807534,4.586616780049425,0.7558300723684895,1.159263184025552,1.9402904936720207,1.0,1.0,0.25,0.016666666666666666,0.0,4.326592308574062,nan,0.727648785338875,1.0,0.7356366250014617,181400,25
evaluation,20260916,1.0,poorly_conditioned,constant_velocity,manoeuvre_history,pre,8,80,9,0.1125,0.1125,0.6984695013044692,1.0958018655147606,1.236162190015827,0.2817640618926469,0.42026370075604835,0.42071856913128236,1.0,0.1125,0.25,0.016666666666666666,0.0,4.326592308574062,nan,0.727648785338875,1.0,0.7356366250014617,181400,25
evaluation,20260916,1.0,poorly_conditioned,smooth_turn,confirmed_recovery,during,8,72,60,0.8333333333333334,0.8333333333333334,3.289090105324288,7.077235532163619,8.789496316077942,2.638087731548367,4.610888051583964,4.738503512243225,0.1,0.08333333333333333,4.875,0.325,1.0,4.2833436850324205,2.7508352088870107,0.5648336876438302,0.8125,0.8503460374995484,0,0
evaluation,20260916,1.0,poorly_conditioned,smooth_turn,confirmed_recovery,post,8,64,31,0.484375,0.484375,1.4450676456096256,2.831510396442652,3.2976466952978347,0.5077202557154803,0.8709062669715671,1.5100349461219533,1.0,0.484375,4.875,0.325,1.0,4.2833436850324205,2.7508352088870107,0.5648336876438302,0.8125,0.8503460374995484,0,0
