geometry,trajectory_kind,sequence_index,seed,variant,event_count,initialization_event_count,accepted_update_count,rejected_event_count,clean_rejected_during_count,during_event_count,reset_count,first_confirmation_time_s,last_recovery_duration_s,first_post_onset_accepted_update_processing_time_s,first_post_onset_accepted_update_first_publication_time_s,runtime_s,maximum_history_memory_bytes,maximum_history_nodes,rejection_reasons_json
poorly_conditioned,constant_acceleration_segment,6,20260916,confirmed_recovery,45,19,21,5,5,15,1,3.0739593133487304,2.429517540562985,5.452004015744406,5.5,0.2680213000057847,0,0,"{""pre_update_nis_gate"": 5}"
poorly_conditioned,constant_acceleration_segment,6,20260916,manoeuvre_history,45,10,33,2,0,15,0,3.0739593133487304,nan,5.452004015744406,5.5,0.1837632000024314,140624,22,"{""emission_outside_history"": 2}"
poorly_conditioned,constant_acceleration_segment,7,20260916,confirmed_recovery,45,26,15,4,4,15,1,4.967189587572557,2.525333939994571,5.574023032085352,6.0,1.3831748999946285,0,0,"{""pre_update_nis_gate"": 4}"
poorly_conditioned,constant_acceleration_segment,7,20260916,manoeuvre_history,45,17,27,1,0,15,0,4.967189587572557,nan,5.574023032085352,6.0,1.1200061999988975,153640,23,"{""emission_outside_history"": 1}"
poorly_conditioned,smooth_turn,0,20260916,confirmed_recovery,45,26,14,5,5,15,1,4.85602280066249,2.3620375872232753,5.564026481978781,6.0,1.0875468000012916,0,0,"{""pre_update_nis_gate"": 5}"
poorly_conditioned,smooth_turn,0,20260916,manoeuvre_history,45,17,27,1,0,15,0,4.85602280066249,nan,5.564026481978781,6.0,1.0554275999966194,153640,23,"{""emission_outside_history"": 1}"
poorly_conditioned,smooth_turn,1,20260916,confirmed_recovery,45,26,13,6,4,15,1,4.893619146006804,3.061111291761067,5.729402409831356,6.0,1.287551400004304,0,0,"{""confirmed_initialization_consensus_outlier"": 2, ""pre_update_nis_gate"": 4}"
poorly_conditioned,smooth_turn,1,20260916,manoeuvre_history,45,17,26,2,1,15,0,4.893619146006804,nan,5.729402409831356,6.0,1.055017400001816,153640,23,"{""emission_outside_history"": 1, ""pre_update_nis_gate"": 1}"
poorly_conditioned,smooth_turn,2,20260916,confirmed_recovery,45,27,11,7,7,15,1,5.109872606458525,3.035747506089825,5.455861594791652,5.5,1.1647897000002558,0,0,"{""pre_update_nis_gate"": 7}"
poorly_conditioned,smooth_turn,2,20260916,manoeuvre_history,45,17,26,2,0,15,0,5.109872606458525,nan,5.7193935095127735,6.0,1.1773281999994651,153640,23,"{""emission_outside_history"": 2}"
poorly_conditioned,smooth_turn,3,20260916,confirmed_recovery,45,19,22,4,4,15,1,3.265969744091086,2.494142140378835,5.421990190907103,5.5,0.21534869999595685,0,0,"{""pre_update_nis_gate"": 4}"
poorly_conditioned,smooth_turn,3,20260916,manoeuvre_history,45,10,33,2,0,15,0,3.265969744091086,nan,5.421990190907103,5.5,0.1559687000044505,181400,25,"{""emission_outside_history"": 2}"
poorly_conditioned,smooth_turn,4,20260916,confirmed_recovery,45,19,20,6,5,15,1,3.0846965669561057,2.3251112024207945,5.7588355165122955,6.0,0.2129032999946503,0,0,"{""pre_update_nis_gate"": 6}"
poorly_conditioned,smooth_turn,4,20260916,manoeuvre_history,45,10,32,3,0,15,0,3.0846965669561057,nan,5.7588355165122955,6.0,0.1589187999998103,153640,23,"{""emission_outside_history"": 2, ""pre_update_nis_gate"": 1}"
poorly_conditioned,smooth_turn,5,20260916,confirmed_recovery,45,26,12,7,4,15,1,5.015419715163071,3.040257056577431,5.562526259299697,6.0,1.190201999997953,0,0,"{""confirmed_initialization_consensus_outlier"": 2, ""pre_update_nis_gate"": 5}"
poorly_conditioned,smooth_turn,5,20260916,manoeuvre_history,45,17,27,1,0,15,0,5.015419715163071,nan,5.562526259299697,6.0,1.0273796000037692,167232,24,"{""emission_outside_history"": 1}"
poorly_conditioned,smooth_turn,6,20260916,confirmed_recovery,45,19,19,7,6,15,1,3.0739593133487304,2.540081598643159,5.452004015744406,5.5,0.21953729999950156,0,0,"{""confirmed_initialization_consensus_outlier"": 1, ""pre_update_nis_gate"": 6}"
poorly_conditioned,smooth_turn,6,20260916,manoeuvre_history,45,10,33,2,0,15,0,3.0739593133487304,nan,5.452004015744406,5.5,0.17752930000278866,140624,22,"{""emission_outside_history"": 2}"
poorly_conditioned,smooth_turn,7,20260916,confirmed_recovery,45,26,14,5,4,15,1,4.967189587572557,3.148193288001698,5.574023032085352,6.0,1.4248891000024742,0,0,"{""confirmed_initialization_consensus_outlier"": 1, ""pre_update_nis_gate"": 4}"
poorly_conditioned,smooth_turn,7,20260916,manoeuvre_history,45,17,27,1,0,15,0,4.967189587572557,nan,5.574023032085352,6.0,1.157293900003424,153640,23,"{""emission_outside_history"": 1}"
