split,sequence_count,dependent_frame_count,estimator_variant,geometry,snr_db,signal_model,trajectory_kind,quality_metric,quality_sample_count,quality_mean,quality_p50,spearman_correlation_with_absolute_angular_error,pearson_correlation_with_absolute_angular_error,sequence_seeds_json,seed_scope,quality_score_probability_claimed,quality_metric_uses_truth_online,offline_error_correlation_uses_truth,overlapping_frames_are_statistically_dependent,dependent_frames_are_independent_trials
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_mean_peak_curvature,60,0.008769460613420143,0.00876259373295489,-0.26040566824117817,-0.26419979339839894,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_total_spectral_energy,60,6779905.442847962,6726700.053980116,-0.38193942761878313,-0.4452616797533998,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_boundary_count,60,0.0,0.0,,,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_valid_pair_count,60,3.0,3.0,,,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_mean_peak_ratio,60,1.9355221285668525,1.9147952936821822,0.1582661850514032,0.07214826419451023,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_minimum_peak_ratio,60,1.6439791399347292,1.6370599413692126,0.22233953876076692,0.16375138323797359,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_mean_peak_curvature,60,0.008681783619375766,0.008760424915635695,0.059794387329813854,-0.17856029869261816,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_total_spectral_energy,60,13391929.106859595,13353683.599708285,-0.14865240344540154,-0.19700078963525333,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_boundary_count,60,0.0,0.0,,,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_valid_pair_count,60,6.0,6.0,,,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_mean_peak_ratio,60,1.8569265604477612,1.8554784130995032,-0.023673242567379835,-0.07632467083587925,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_minimum_peak_ratio,60,1.5994230539658267,1.5836573631855897,0.1880522367324257,0.15308128855827416,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_mean_peak_curvature,60,0.008546883697981558,0.008546875299990018,0.0053903862183939995,-0.09320577468502446,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_total_spectral_energy,60,13447638.320372917,13330484.79344451,-0.013281467074187278,-0.10991654732792595,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_boundary_count,60,0.0,0.0,,,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,all_6_equal_gcc_wls,tetrahedral,-6.0,random_broadband,transverse,gcc_valid_pair_count,60,6.0,6.0,,,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,transverse,srp_peak_score,60,0.11824244623256487,0.11963135120209537,-0.10958599611003059,-0.16674596214459383,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,transverse,srp_score_margin,60,0.02703212071509773,0.027371835286102965,0.17115865518199505,0.09216750991881746,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,transverse,srp_local_curvature_eigenvalue_min,60,17.549716610431883,17.609978016938058,0.014059460961378162,-0.19929368335009523,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,transverse,srp_local_curvature_eigenvalue_max,60,19.72005396207368,19.53234173905761,0.08463462072798002,-0.09268912737575812,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,transverse,srp_used_spectral_energy,60,13391929.106859595,13353683.599708285,-0.1512642400666852,-0.2046569832348146,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,transverse,srp_mean_spectral_energy_fraction,60,0.81231116008821,0.8119594477149431,0.06162823006390666,0.13337055991762337,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,transverse,boundary_hit,60,0.0,0.0,,,"[3817850923, 58208074, 2150283135]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,transverse,srp_peak_score,60,0.12237111711786945,0.12240043221027691,0.05473742706307308,0.025990547353603934,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,transverse,srp_score_margin,60,0.027345932408380885,0.027216566573819663,-0.16060016671297586,-0.20337032474416403,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,transverse,srp_local_curvature_eigenvalue_min,60,16.769907829427346,16.652080482997366,-0.1275909974993054,-0.12410756738994168,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,transverse,srp_local_curvature_eigenvalue_max,60,19.391630140308067,19.67369925685334,0.012225618227285358,-0.1115150723111937,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
