study_type,signal_model,split,geometry,direction,azimuth_deg,elevation_deg,SNR,snr_db,frame_length,pair,calibration_trial_count,evaluation_trial_count,seed,estimator_variant,propagation_model,distance_m,true_tdoa_s,true_tdoa_us,bias_s,bias_us,standard_deviation_us,rmse_us,median_absolute_error_us,p95_absolute_error_us,catastrophic_outlier_fraction_gt_1_sample,mean_peak_value,mean_peak_to_second_peak_ratio,median_peak_to_second_peak_ratio,mean_peak_curvature,mean_used_spectral_energy,mean_spectral_energy_fraction,boundary_hit_fraction,invalid_fraction
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-4.0,-4.0,2048,0-3,1000,2000,1688469051,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,6.79001609267211e-08,0.06790016092672109,6.199451918732564,6.19827378569908,3.9461467812920423,12.226481842256359,0.0025,0.03568557167905011,1.599086605629217,1.5743938775035917,0.002015287113455591,105426.0432672585,0.8663683569862649,0.0,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-4.0,-4.0,2048,1-2,1000,2000,1688469051,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-8.959272294669407e-08,-0.08959272294669407,6.434583634624825,6.433598641018193,4.266406602537341,12.32025414578081,0.0035,0.0357896701499106,1.600838553007522,1.5753204897338327,0.002019673956775948,103651.55365958196,0.8648331977659522,0.0,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-4.0,-4.0,2048,1-3,1000,2000,1688469051,gcc_phat_pair,plane,20.0,-1.9304427175766277e-20,-1.9304427175766277e-14,-7.473763568570315e-08,-0.07473763568570316,6.366603753988054,6.365450671618038,4.256369482813813,12.818709549997175,0.0015,0.03614747448763451,1.587880270478674,1.562479286972486,0.0020265377678399268,105298.51410373527,0.866620162073507,0.0,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-4.0,-4.0,2048,2-3,1000,2000,1688469051,gcc_phat_pair,plane,20.0,-0.00025248554046193545,-252.48554046193544,5.71778031798397e-07,0.5717780317983969,17.12661788072939,17.131879921075523,4.163251814840959,12.39891208479451,0.005,0.035645755132649226,1.6074121637723198,1.5863052979278138,0.0020257700306457933,103603.42099648571,0.8653456647137439,0.0005,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-2.0,-2.0,2048,0-1,1000,2000,623499171,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-1.0600787235942846e-07,-0.10600787235942846,5.113802858528543,5.1123445076814775,3.3482482920767818,10.271436208440845,0.0,0.04310993622175819,1.6116318654607722,1.5950385831645473,0.0024510526630159707,88246.34874890966,0.8921005797805217,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-2.0,-2.0,2048,0-2,1000,2000,623499171,gcc_phat_pair,plane,20.0,0.0005049710809238709,504.9710809238709,1.5906662845473798e-07,0.15906662845473798,5.176050950505171,5.17590708292481,3.488925978467031,9.949317083822038,0.0,0.0421628172284727,1.6185627569422578,1.5991911053816956,0.002428027752354896,86933.89168526966,0.8905876592818249,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-2.0,-2.0,2048,0-3,1000,2000,623499171,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-1.7489426484705556e-07,-0.17489426484705556,4.969853414845483,4.97044580756723,3.1347801411047533,9.700498650051236,0.0,0.0428705181759351,1.6093707594482973,1.5890086555288865,0.0024315778614075905,88376.62733369789,0.8922892833901428,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-2.0,-2.0,2048,1-2,1000,2000,623499171,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-9.303231895396469e-08,-0.09303231895396469,5.17828460418018,5.176530867561553,3.436699537874159,10.291668296956285,0.002,0.04269845300099066,1.607600596392138,1.5921448322784681,0.002428870679969794,86731.7096801694,0.8904090532356271,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-2.0,-2.0,2048,1-3,1000,2000,623499171,gcc_phat_pair,plane,20.0,-1.9304427175766277e-20,-1.9304427175766277e-14,-6.858424056521541e-08,-0.0685842405652154,5.0349673115085904,5.0329165232681925,3.1418448583759857,10.025631995233365,0.0,0.04319139017382493,1.590340953370857,1.5699667758031155,0.002400734631752761,88189.62564710155,0.8922739526982731,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-2.0,-2.0,2048,2-3,1000,2000,623499171,gcc_phat_pair,plane,20.0,-0.00025248554046193545,-252.48554046193544,5.728855807859187e-08,0.057288558078591865,4.889036599795939,4.886927273262497,3.4300106875567553,9.476737425397761,0.0,0.04268470994129431,1.6080985916888886,1.5877195255734708,0.0024315264578995406,86840.63154467258,0.8903897484984734,0.0,0.0
