array,noise_model,azimuth_deg,elevation_deg,sigma_tdoa_us,sigma_toa_us,marginal_tdoa_std_us,n_trials,seed,bias_azimuth_rad,bias_elevation_rad,bias_azimuth_deg,bias_elevation_deg,physical_bias_rad,physical_bias_deg,emp_cov_phi_phi_rad2,emp_cov_phi_elevation_rad2,emp_cov_elevation_elevation_rad2,crlb_phi_phi_rad2,crlb_phi_elevation_rad2,crlb_elevation_elevation_rad2,normalized_cov_eigenvalue_min,normalized_cov_eigenvalue_max,normalized_cov_frobenius_error,whitened_bias_norm,geodesic_rmse_rad,geodesic_rmse_deg,median_geodesic_error_rad,median_geodesic_error_deg,p95_geodesic_error_rad,p95_geodesic_error_deg,fraction_over_10deg,angular_crlb_rms_rad,angular_crlb_rms_deg,rmse_to_crlb_ratio,optimizer_success_fraction,boundary_fraction,fisher_rank,fisher_condition_number,fisher_eigenvalue_min,fisher_eigenvalue_max,direction_id,pair_scheme,bias_z_azimuth,bias_z_elevation,low_noise_ratio_pass,low_noise_covariance_pass,low_noise_bias_pass,low_noise_overall_pass
square,independent_tdoa,45.0,29.999999999999996,20.0,,20.0,2000,1090741084,-0.0016229658953979184,-0.006456356112262378,-0.09298909609997136,-0.3699219562661266,0.00660757504471696,0.37858616287824803,0.003243242623067338,-1.6485120078426205e-05,0.003224640287649605,0.003137306666666666,1.9463528553974563e-19,0.003137306666666666,1.0247686157245548,1.0368350456060587,0.04438811676238457,0.11885413556114628,0.07554671831365838,4.328508115436309,0.06237933036626365,3.574072358839163,0.13189113679647152,7.556805493620411,0.008,0.07409646865179653,4.24541493057135,1.0195724531580181,1.0,0.0,2,1.0,318.7447407117783,318.7447407117783,az45_el30,reference_0,0.028975497913003773,0.11526806175468056,,,,
square,independent_tdoa,45.0,29.999999999999996,49.99999999999999,,49.99999999999999,2000,3231950851,0.00037161829402885773,-0.041307223899829826,0.02129215983770523,-2.3667295928621743,0.04130847759755877,2.366801424450828,0.01921446351971917,-0.00038111337299401565,0.02912516440838137,0.019608166666666666,1.2164705346234102e-18,0.019608166666666666,0.9791751488473082,1.4861051983600908,0.48655106443027635,0.29500208683500556,0.21324587439326434,12.218088601310921,0.15711059370281238,9.001773935965799,0.4149401454671067,23.77431908580965,0.4335,0.18524117162949136,10.613537326428377,1.1511796892528101,1.0,0.0395,2,1.0,50.999158513884524,50.999158513884524,az45_el30,reference_0,0.002653863555260263,0.29499014940373564,,,,
square,independent_tdoa,45.0,29.999999999999996,99.99999999999999,,99.99999999999999,2000,919012307,0.011454688033876032,-0.11394512850514275,0.6563052799801036,-6.5285749594204905,0.11437613264365325,6.553269677509814,0.06792914199274185,-0.0008529524471108785,0.08425218234962191,0.07843266666666666,4.865882138493641e-18,0.07843266666666666,0.8655155473929018,1.074764323354369,0.1538693343056615,0.408912819482513,0.3868664811735977,22.165816606324466,0.31412563797432735,17.99807329278338,0.6272466955327018,35.93858836755116,0.803,0.3704823432589827,21.227074652856754,1.0442238023288515,1.0,0.2385,2,1.0,12.749789628471131,12.749789628471131,az45_el30,reference_0,0.040901079950088265,0.40686213340154276,,,,
square,independent_toa,45.0,29.999999999999996,,35.35533905932737,49.99999999999999,2000,2687886218,-0.003684503958308669,-0.04022395559937276,-0.21110652641033256,-2.3046628911656746,0.04035031946743923,2.3119030074888314,0.009446910356927657,-0.00043822221290012477,0.04086134296528303,0.00980408333333333,1.495017289185843e-18,0.029412249999999987,0.9620102346171608,1.3908214608861083,0.39266351570141445,0.23747556107349793,0.22255551283507405,12.751491592819365,0.15098460950106934,8.650780895842104,0.5242230491454174,30.035768239511555,0.414,0.19174282907060694,10.986054857644127,1.1606979719336503,1.0,0.064,2,2.9999999999999996,33.99943900925636,101.99831702776908,az45_el30,reference_0,0.0372113589299082,0.23454201515669254,,,,
square,independent_tdoa,119.99999999999999,50.0,1.0,,1.0,2000,1435944894,3.3178159884457166e-06,1.1586210062648927e-05,0.00019009685333896506,0.0006638409371417886,1.1780851579587919e-05,0.000674993074580417,5.345644075679274e-06,-1.8981624458324207e-06,9.545734936167285e-06,5.381524497781928e-06,-1.9910654243624346e-06,9.576550257168158e-06,0.9858714736012929,1.0111962980829163,0.018026989459155006,0.0045408673398787715,0.003427601738173139,0.1963871134490259,0.0026684461146562607,0.1528907002278863,0.006169034800064561,0.35345965771303095,0.0,0.003435122493449722,0.19681802098512485,0.997810629667232,1.0,0.0,2,2.260973825895001,96421.98743653,218007.589834771,az120_el50,reference_0,0.0014302094222681863,0.0037440087245341146,True,True,True,True
square,independent_tdoa,119.99999999999999,50.0,5.0,,5.0,2000,2738542493,0.00011441768947055708,0.00038420267099990017,0.006555650708301359,0.02201319152594759,0.00039117866339230816,0.022412886447947936,0.00013117886528540458,-4.436002933623355e-05,0.00022611955851565408,0.00013453811244454816,-4.977663560906085e-05,0.00023941375642920392,0.9394389109665461,0.9914925223603551,0.06115572484000979,0.03034038527764114,0.016741619667372837,0.9592241491536767,0.012970179362293392,0.7431365369870928,0.03100720177037065,1.7765817959528127,0.0,0.017175612467248608,0.9840901049256241,0.9747320335328168,1.0,0.0,2,2.260973825895001,3856.879497461202,8720.30359339084,az120_el50,reference_0,0.009864396224795248,0.024830520842189275,,,,
square,independent_tdoa,119.99999999999999,50.0,10.0,,10.0,2000,222965935,-0.00027551163758958365,-0.0011990334271934175,-0.015785654040621027,-0.06869955487328949,0.0012120412385506788,0.06944484756476291,0.0005457304646665993,-0.00021416376470075982,0.0009567527189136419,0.0005381524497781926,-0.0001991065424362434,0.0009576550257168157,0.9786426490090683,1.0229876395983062,0.03137782681530821,0.045339669689328475,0.03438491824418865,1.9701106942943947,0.0263155123815464,1.5077677951868704,0.06457769242337158,3.700029226553145,0.0,0.034351224934497215,1.9681802098512482,1.000980847400804,1.0,0.0,2,2.260973825895001,964.2198743653005,2180.07589834771,az120_el50,reference_0,0.011876467573771454,0.03874598844787251,,,,
square,independent_tdoa,119.99999999999999,50.0,20.0,,20.0,2000,1945612642,-0.0005984738517027992,-0.0021539814654950775,-0.03429002585150871,-0.1234140471222719,0.0021880639302360866,0.12536682850733516,0.0020788954364787866,-0.0007225794276064211,0.003825125116559878,0.0021526097991127705,-0.0007964261697449736,0.0038306201028672627,0.9601559557352903,1.0166459235281986,0.04318141537136996,0.04197800779561818,0.06840754520375604,3.919463627025618,0.05317577783912146,3.0467476425069524,0.12657380367899634,7.252144747723943,0.005,0.06870244986899443,3.9363604197024964,0.9957075087453107,1.0,0.0,2,2.260973825895001,241.05496859132512,545.0189745869275,az120_el50,reference_0,0.012899192490893033,0.03480225783794643,,,,
square,independent_tdoa,119.99999999999999,50.0,49.99999999999999,,49.99999999999999,2000,2673248517,-0.004061022927458184,-0.017467621619101724,-0.23267947424921623,-1.0008209969060025,0.01766159290153379,1.0119347327361,0.01567453881461935,-0.006216937362441125,0.02650875300200572,0.013453811244454819,-0.004977663560906087,0.023941375642920395,1.081419358149018,1.172076821210616,0.19036686759871962,0.1323235771523057,0.18128627653214124,10.386938528933236,0.13265297531276915,7.6004556252747735,0.33329730694296217,19.096529010908082,0.3185,0.1717561246724861,9.840901049256242,1.0554865328839234,1.0,0.001,2,2.2609738258950007,38.56879497461201,87.2030359339084,az120_el50,reference_0,0.035011665958115605,0.11289097536666891,,,,
square,independent_tdoa,119.99999999999999,50.0,99.99999999999999,,99.99999999999999,2000,551696334,-0.02772292097912817,-0.08106020214021642,-1.588406367878732,-4.644407469111724,0.08299582515358851,4.755310498506339,0.10112263449161535,-0.028422612122804933,0.12783775387883725,0.053815244977819275,-0.01991065424362435,0.09576550257168158,1.3336618924817132,1.9102257865375736,0.9694540943089686,0.3295652038299798,0.401455060420561,23.001680626267607,0.27042897920651165,15.494439166564216,0.8770181915551591,50.2494409323066,0.7325,0.3435122493449722,19.681802098512485,1.1686775688089066,1.0,0.0845,2,2.2609738258950007,9.642198743653003,21.8007589834771,az120_el50,reference_0,0.11950506880196196,0.2619407920143328,,,,
