study_type,signal_model,split,geometry,direction,azimuth_deg,elevation_deg,SNR,snr_db,frame_length,pair,calibration_trial_count,evaluation_trial_count,calibration_seed,evaluation_seed,seed,estimator_variant,srp_backend,common_random_numbers,successful_trial_count,unsuccessful_trial_count,successful_fraction,conditional_azimuth_bias_deg,conditional_elevation_bias_deg,conditional_direction_bias_deg,conditional_geodesic_rmse_deg,conditional_median_geodesic_error_deg,conditional_p95_geodesic_error_deg,conditional_p99_geodesic_error_deg,conditional_p999_geodesic_error_deg,p99_geodesic_error_deg,p999_geodesic_error_deg,fraction_error_gt_5deg,fraction_error_gt_10deg,fraction_error_gt_30deg,coverage,failure_fraction,invalid_fraction,boundary_hit_fraction,disconnected_graph_failure_fraction,catastrophic_fraction,mean_runtime_per_estimate_s,median_runtime_per_estimate_s,p95_runtime_per_estimate_s,metric_conditioning,equal_pair_weights,gcc_confidence_used_by_srp
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,10.0,10.0,1024,all_6,500,1000,469922851,3217642786,3217642786,all_6_calibrated_gcc_wls,not_applicable,True,997,3,0.997,-0.0264210833081324,-0.031112564441352724,0.04060338205032446,0.9948318644560906,0.648267097282025,1.8870401770470127,2.6657615340855254,4.028627016675987,2.6657615340855254,4.028627016675987,0.0010030090270812437,0.0,0.0,0.997,0.0030000000000000027,0.0,0.0,0.003,0.0,0.003553066899185069,0.0035736498539336026,0.004570214991690591,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,10.0,10.0,1024,all_6,500,1000,469922851,3217642786,3217642786,equal_weight_srp_phat,gcc_correlation_interpolated,True,1000,0,1.0,0.07091959722552661,0.9348670946149849,0.9374940972590651,1.309485273897614,1.0223346045141881,2.3766743833594037,2.9204325034121226,3.276886179060315,2.9204325034121226,3.276886179060315,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.007445162399089895,0.007059949974063784,0.010223540046717968,successful_trials_only,True,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,20.0,20.0,1024,reference_3,500,1000,1718345181,4231909955,4231909955,reference_3_gcc_wls,not_applicable,True,1000,0,1.0,0.34632984653926646,2.0426246821793463,2.0707130417467234,2.1578964989026392,2.0957304142952387,3.059702921303733,3.3715442619753158,3.8180968825959356,3.3715442619753158,3.8180968825959356,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0031956861990038304,0.003163050045259297,0.00419329492142424,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,20.0,20.0,1024,all_6,500,1000,1718345181,4231909955,4231909955,all_6_equal_gcc_wls,not_applicable,True,1000,0,1.0,0.19264941632869156,1.7246407889091306,1.7349907076413282,1.8018991969456732,1.7353383959223219,2.5345666378698,2.786748482337597,3.0810110164739286,2.786748482337597,3.0810110164739286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0032082756981253622,0.003177099977619946,0.004220015002647415,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,20.0,20.0,1024,all_6,500,1000,1718345181,4231909955,4231909955,all_6_calibrated_gcc_wls,not_applicable,True,996,4,0.996,-0.017218394442030893,-0.07476905567422894,0.07667484306892387,0.6194640193188414,0.3958174259556711,1.2266968106326797,1.6448334935246303,1.9893957396791637,1.6448334935246303,1.9893957396791637,0.0,0.0,0.0,0.996,0.0040000000000000036,0.0,0.0,0.004,0.0,0.0036460334990406408,0.003588649909943342,0.004744030022993683,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,20.0,20.0,1024,all_6,500,1000,1718345181,4231909955,4231909955,equal_weight_srp_phat,gcc_correlation_interpolated,True,1000,0,1.0,0.12898229045884219,1.727462802775428,1.7321040594382493,1.8009512181913991,1.7386196509792828,2.5301018773098245,2.811625075170745,3.0386026850099617,2.811625075170745,3.0386026850099617,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.007835523497080431,0.0074691500049084425,0.011494314979063346,successful_trials_only,True,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,30.0,30.0,1024,reference_3,500,1000,2820199712,2400615734,2400615734,reference_3_gcc_wls,not_applicable,True,1000,0,1.0,0.40977830375325297,2.345211792641807,2.379411795711683,2.396680184953224,2.3837695209737753,2.8443997366779517,3.0168870492722286,3.1603233428721613,3.0168870492722286,3.1603233428721613,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003150832800427452,0.0030829000170342624,0.0041686600656248626,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,30.0,30.0,1024,all_6,500,1000,2820199712,2400615734,2400615734,all_6_equal_gcc_wls,not_applicable,True,1000,0,1.0,0.23175185449413674,2.001233421508367,2.0141214411365236,2.027742972710979,2.022139483302345,2.399124838385054,2.5177490570096652,2.6396589486875714,2.5177490570096652,2.6396589486875714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0031661049012327567,0.003107149910647422,0.004169760079821571,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,30.0,30.0,1024,all_6,500,1000,2820199712,2400615734,2400615734,all_6_calibrated_gcc_wls,not_applicable,True,997,3,0.997,-0.003981840987914912,0.0015576230510883705,0.004238416761975069,0.307224131198217,0.2017656864144046,0.6108179968201695,0.8096591686437387,0.9194993886037998,0.8096591686437387,0.9194993886037998,0.0,0.0,0.0,0.997,0.0030000000000000027,0.0,0.0,0.003,0.0,0.003617246800917201,0.0035856999456882477,0.004735094856005162,successful_trials_only,False,False
srp_paired_full,deterministic_multisine,evaluation,square,az20_el10,20.0,10.0,30.0,30.0,1024,all_6,500,1000,2820199712,2400615734,2400615734,equal_weight_srp_phat,gcc_correlation_interpolated,True,1000,0,1.0,0.14623096742620725,1.9890940888160942,1.9942670778297513,2.008909136113901,2.004317365067293,2.3925862606520636,2.52821105349751,2.6091424514812984,2.52821105349751,2.6091424514812984,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.007863278103410266,0.0074700500699691474,0.011268255003960803,successful_trials_only,True,False
