record_type,method,delay_samples,frequency_hz,normalized_frequency_cycles_per_sample,amplitude_error,phase_error_rad,max_waveform_error_valid,sampling_rate_hz,fir_length,fir_fixed_latency_samples,validation_guard_samples,group_delay_error_samples,cross_method_max_error_valid,valid_start,valid_stop
tone,frequency_domain,0.75,4000.0,0.08333333333333333,1.121167270135004e-08,2.443134855898216e-08,0.0002092664648959408,48000.0,,,512,,,,
tone,frequency_domain,0.75,8000.0,0.16666666666666666,2.445267510697846e-08,2.7309223495348664e-08,0.00021982879953758028,48000.0,,,512,,,,
tone,frequency_domain,0.75,12000.0,0.25,6.176881228725506e-11,7.12198078333808e-11,0.00023419334848689966,48000.0,,,512,,,,
tone,frequency_domain,0.75,16000.0,0.3333333333333333,1.0276026074507172e-07,5.904748438186932e-09,0.00042400798828778896,48000.0,,,512,,,,
tone,frequency_domain,0.75,19000.0,0.3958333333333333,2.490379236164131e-07,5.8201010394145874e-08,0.0006548776310283388,48000.0,,,512,,,,
tone,frequency_domain,0.9,1500.0,0.03125,4.5816017646416185e-11,1.0242001691665626e-11,0.00010246705323357919,48000.0,,,512,,,,
tone,frequency_domain,0.9,2000.0,0.041666666666666664,1.9697545816654838e-09,1.1484472673268488e-08,9.367991617570404e-05,48000.0,,,512,,,,
tone,frequency_domain,0.9,4000.0,0.08333333333333333,5.728382879155447e-09,1.0258822843520613e-08,9.148106591261307e-05,48000.0,,,512,,,,
tone,frequency_domain,0.9,8000.0,0.16666666666666666,1.2425297013507475e-08,1.0118642494166762e-08,9.609686845252208e-05,48000.0,,,512,,,,
tone,frequency_domain,0.9,12000.0,0.25,1.2484457911909885e-11,4.5509485069885336e-11,0.00010237424348785717,48000.0,,,512,,,,
tone,frequency_domain,0.9,16000.0,0.3333333333333333,4.348956683664085e-08,1.143385758530108e-08,0.00018524216395954252,48000.0,,,512,,,,
tone,frequency_domain,0.9,19000.0,0.3958333333333333,9.203292750115111e-08,6.334721730369528e-08,0.0002861063695321856,48000.0,,,512,,,,
tone,windowed_sinc,0.1,1500.0,0.03125,3.774880186213636e-09,1.9267783159818348e-07,1.9271504687889962e-07,48000.0,129,64,512,,,,
tone,windowed_sinc,0.1,2000.0,0.041666666666666664,3.884394050857054e-08,1.369102641315419e-06,1.3696505486056332e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.1,4000.0,0.08333333333333333,4.576998269278931e-08,9.50035083876992e-07,9.511289976518733e-07,48000.0,129,64,512,,,,
tone,windowed_sinc,0.1,8000.0,0.16666666666666666,1.725968887811291e-07,1.6260649398888395e-06,1.416964255818165e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.1,12000.0,0.25,2.9141178470304396e-07,1.84571949034666e-06,1.868584164427256e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.1,16000.0,0.3333333333333333,3.597771820462725e-07,1.6645586658884901e-06,1.4777468930748938e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.1,19000.0,0.3958333333333333,1.1103670587431225e-06,4.3544185624510175e-06,4.493762255169953e-06,48000.0,129,64,512,,,,
tone,windowed_sinc,0.25,1500.0,0.03125,2.1575869202372644e-08,4.399524716619172e-07,4.4048134268531713e-07,48000.0,129,64,512,,,,
tone,windowed_sinc,0.25,2000.0,0.041666666666666664,2.2209421035590537e-07,3.127168728363074e-06,3.134999454285081e-06,48000.0,129,64,512,,,,
