record_type,geometry,distance_m,max_plane_error_s,max_plane_error_us,max_second_order_error_s,max_second_order_error_us,sample_error,worst_azimuth_deg,worst_elevation_deg,worst_pair,second_order_worst_azimuth_deg,second_order_worst_elevation_deg,second_order_worst_pair,sampling_rate_hz,angular_step_deg,max_elevation_deg,phase_error_2000hz_rad,phase_error_4000hz_rad,phase_error_8000hz_rad,phase_error_12000hz_rad,criterion,maximum_frequency_hz,limit_value,limit_unit,target_error_s,target_error_us,minimum_distance_m,coarse_boundary_distance_m,achieved_error_s,achieved_error_us,coarse_max_error,refined_max_error,relative_grid_difference,refined_worst_azimuth_deg,refined_worst_elevation_deg,refined_worst_pair,continuous_refinement_used,continuous_max_error,continuous_worst_azimuth_deg,continuous_worst_elevation_deg,continuous_worst_pair,coarse_search_iterations,refined_search_iterations,refined_angular_step_deg
distance_sweep,rectangle 3:1,1000.0,8.74713765444202e-09,0.00874713765444202,1.1231016117108084e-12,1.1231016117108084e-06,0.00041986260741321696,225.0,0.0,2-3,73.0,3.0,0-2,48000.0,0.5,80.0,0.00010991977358053481,0.00021983954716106962,0.00043967909432213924,0.0006595186414832089,,,,,,,,,,,,,,,,,,,,,,,,
boundary,rectangle 3:1,,,,,,,134.75,0.0,0-1,,,,48000.0,0.5,80.0,,,,,sample,,0.1,samples,2.0833333333333334e-06,2.0833333333333335,4.28531564693659,4.28530431594854,2.083330547004319e-06,2.083330547004319,2.0833266754570305e-06,2.083330547004319e-06,1.8583451838955103e-06,134.75,0.0,0-1,False,,,,,22,22,0.25
boundary,rectangle 3:1,,,,,,,134.75,0.0,0-1,,,,48000.0,0.5,80.0,,,,,phase,2000.0,0.1,rad,7.957747154594769e-06,7.9577471545947684,1.1804289580788894,1.1804086702759113,7.957746467939495e-06,7.957746467939495,7.957592843882227e-06,7.957746467939495e-06,1.9304970054976508e-05,134.75,0.0,0-1,False,,,,,20,20,0.25
boundary,rectangle 3:1,,,,,,,134.75,0.0,0-1,,,,48000.0,0.5,80.0,,,,,phase,4000.0,0.1,rad,3.978873577297384e-06,3.9788735772973842,2.2833086157076417,2.283248242477453,3.978870565018154e-06,3.9788705650181537,3.978759257303318e-06,3.978870565018154e-06,2.7974701115967794e-05,134.75,0.0,0-1,False,,,,,21,21,0.25
boundary,rectangle 3:1,,,,,,,134.75,0.0,0-1,,,,48000.0,0.5,80.0,,,,,phase,8000.0,0.1,rad,1.989436788648692e-06,1.9894367886486921,4.4835585611035755,4.4835585611035755,1.9894347795774503e-06,1.9894347795774503,1.9894341330476913e-06,1.9894347795774503e-06,3.2498163077279144e-07,134.75,0.0,0-1,False,,,,,22,22,0.25
boundary,rectangle 3:1,,,,,,,225.0,0.0,2-3,,,,48000.0,0.5,80.0,,,,,phase,12000.0,0.1,rad,1.3262911924324613e-06,1.3262911924324612,6.682495508960099,6.682495508960099,1.3262906499250334e-06,1.3262906499250335,1.3262906499250334e-06,1.3262906499250334e-06,0.0,225.0,0.0,2-3,False,,,,,22,22,0.25
distance_sweep,square,0.5,2.9022347517468328e-05,29.02234751746833,4.498505256310447e-06,4.498505256310446,1.3930726808384797,42.0,0.0,0-1,4.5,35.0,2-3,48000.0,0.5,80.0,0.36470557500323386,0.7294111500064677,1.4588223000129354,2.1882334500194034,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,square,1.0,1.4559924970422068e-05,14.559924970422069,1.1227575689469124e-06,1.1227575689469125,0.6988763985802593,313.5,0.0,0-3,2.0,35.0,2-3,48000.0,0.5,80.0,0.18296541329558622,0.36593082659117243,0.7318616531823449,1.0977924797735172,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,square,2.0,7.286172473553788e-06,7.286172473553788,2.805739080487604e-07,0.2805739080487604,0.34973627873058183,44.5,0.0,0-1,1.0,35.0,2-3,48000.0,0.5,80.0,0.091560743662819,0.183121487325638,0.366242974651276,0.549364461976914,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,square,5.0,2.915229501567634e-06,2.9152295015676337,4.4886653989203995e-08,0.044886653989203995,0.13993101607524644,44.5,0.0,0-1,0.5,35.5,2-3,48000.0,0.5,80.0,0.036633854342612446,0.07326770868522489,0.14653541737044978,0.2198031260556747,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,square,10.0,1.4576895061935787e-06,1.4576895061935786,1.122139230841368e-08,0.01122139230841368,0.06996909629729178,225.0,0.0,2-3,7.5,18.5,1-3,48000.0,0.5,80.0,0.01831786657549072,0.03663573315098144,0.07327146630196288,0.10990719945294432,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,square,20.0,7.288584184266434e-07,0.7288584184266433,2.8053831688246156e-09,0.0028053831688246156,0.03498520408447888,225.0,0.0,0-3,1.5,33.0,1-3,48000.0,0.5,80.0,0.009159105011344872,0.018318210022689744,0.03663642004537949,0.054954630068069235,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,square,50.0,2.9154489795810883e-07,0.29154489795810884,4.4886289130019463e-10,0.00044886289130019463,0.013994155101989224,225.0,0.0,2-3,1.5,33.0,1-3,48000.0,0.5,80.0,0.0036636612384671223,0.0073273224769342445,0.014654644953868489,0.021981967430802732,,,,,,,,,,,,,,,,,,,,,,,,
